DATE,FDHBFRBN
1970-01-01,55.8
1970-04-01,57.7
1970-07-01,60.0
1970-10-01,62.1
1971-01-01,64.2
1971-04-01,65.5
1971-07-01,67.6
1971-10-01,70.2
1972-01-01,69.9
1972-04-01,71.4
1972-07-01,69.7
1972-10-01,69.9
1973-01-01,74.3
1973-04-01,75.0
1973-07-01,76.2
1973-10-01,78.5
1974-01-01,79.5
1974-04-01,80.5
1974-07-01,81.0
1974-10-01,80.5
1975-01-01,81.4
1975-04-01,84.7
1975-07-01,87.0
1975-10-01,87.9
1976-01-01,89.8
1976-04-01,94.4
1976-07-01,96.4
1976-10-01,97.0
1977-01-01,96.0
1977-04-01,102.2
1977-07-01,104.7
1977-10-01,102.8
1978-01-01,101.6
1978-04-01,110.1
1978-07-01,115.3
1978-10-01,109.6
1979-01-01,110.9
1979-04-01,109.7
1979-07-01,115.5
1979-10-01,117.5
1980-01-01,116.7
1980-04-01,124.5
1980-07-01,120.7
1980-10-01,121.3
1981-01-01,119.0
1981-04-01,120.0
1981-07-01,124.3
1981-10-01,131.0
1982-01-01,126.6
1982-04-01,127.0
1982-07-01,134.4
1982-10-01,139.3
1983-01-01,136.7
1983-04-01,141.7
1983-07-01,155.4
1983-10-01,151.9
1984-01-01,150.8
1984-04-01,152.9
1984-07-01,155.0
1984-10-01,160.9
1985-01-01,161.0
1985-04-01,169.1
1985-07-01,169.7
1985-10-01,181.3
1986-01-01,184.8
1986-04-01,183.9
1986-07-01,190.8
1986-10-01,211.3
1987-01-01,196.4
1987-04-01,212.3
1987-07-01,211.9
1987-10-01,222.6
1988-01-01,217.5
1988-04-01,227.6
1988-07-01,229.2
1988-10-01,238.4
1989-01-01,228.6
1989-04-01,231.8
1989-07-01,221.1
1989-10-01,226.8
1990-01-01,217.9
1990-04-01,231.4
1990-07-01,234.4
1990-10-01,235.1
1991-01-01,241.0
1991-04-01,247.5
1991-07-01,258.6
1991-10-01,266.5
1992-01-01,265.8
1992-04-01,276.9
1992-07-01,279.7
1992-10-01,295.0
1993-01-01,298.5
1993-04-01,313.1
1993-07-01,319.4
1993-10-01,332.0
1994-01-01,337.3
1994-04-01,347.6
1994-07-01,353.0
1994-10-01,364.5
1995-01-01,363.7
1995-04-01,372.6
1995-07-01,367.7
1995-10-01,378.2
1996-01-01,377.1
1996-04-01,383.9
1996-07-01,383.9
1996-10-01,390.9
1997-01-01,395.1
1997-04-01,410.9
1997-07-01,411.8
1997-10-01,430.7
1998-01-01,433.2
1998-04-01,439.8
1998-07-01,446.0
1998-10-01,452.1
1999-01-01,465.7
1999-04-01,484.9
1999-07-01,489.0
1999-10-01,478.0
2000-01-01,501.7
2000-04-01,504.9
2000-07-01,511.4
2000-10-01,511.7
2001-01-01,523.9
2001-04-01,535.1
2001-07-01,534.1
2001-10-01,551.7
2002-01-01,575.4
2002-04-01,590.7
2002-07-01,604.2
2002-10-01,629.4
2003-01-01,641.5
2003-04-01,652.1
2003-07-01,656.1
2003-10-01,666.7
2004-01-01,674.1
2004-04-01,687.4
2004-07-01,700.3
2004-10-01,717.8
2005-01-01,717.3
2005-04-01,724.7
2005-07-01,736.4
2005-10-01,744.2
2006-01-01,758.5
2006-04-01,766.4
2006-07-01,768.9
2006-10-01,778.9
2007-01-01,780.9
2007-04-01,790.5
2007-07-01,779.6
2007-10-01,740.6
2008-01-01,591.2
2008-04-01,478.8
2008-07-01,476.6
2008-10-01,475.9
2009-01-01,492.3
2009-04-01,656.5
2009-07-01,769.2
2009-10-01,776.6
2010-01-01,776.7
2010-04-01,777.0
2010-07-01,811.7
2010-10-01,1021.5
2011-01-01,1340.4
2011-04-01,1619.5
2011-07-01,1664.7
2011-10-01,1663.4
2012-01-01,1661.1
2012-04-01,1659.9
2012-07-01,1645.3
2012-10-01,1666.1
2013-01-01,1796.0
2013-04-01,1936.6
2013-07-01,2072.3
2013-10-01,2208.8
2014-01-01,2614.6
2014-04-01,2705.9
2014-07-01,2767.3
2014-10-01,2793.4
2015-01-01,2797.5
2015-04-01,2798.5
2015-07-01,2802.1
2015-10-01,2810.1
2016-01-01,2815.3
2016-04-01,2819.1
2016-07-01,2830.1
2016-10-01,2843.7
2017-01-01,2859.131
2017-04-01,2864.091
2017-07-01,2867.555
2017-10-01,2858.136
2018-01-01,2828.463
2018-04-01,2772.949
2018-07-01,2697.86
2018-10-01,2594.652
2019-01-01,2536.673
2019-04-01,2452.784
2019-07-01,2436.438
2019-10-01,2637.32
2020-01-01,3559.553
2020-04-01,4615.353
2020-07-01,4872.973
2020-10-01,5127.835
2021-01-01,5401.362
2021-04-01,5644.351
2021-07-01,5911.599
2021-10-01,6141.499
2022-01-01,6254.966
2022-04-01,6216.801
2022-07-01,6097.085
2022-10-01,5944.675
2023-01-01,5713.249
2023-04-01,5522.478
2023-07-01,5352.361
2023-10-01,5238.936
